EU_Position,Party,Name,Constituency ID
Leave,Con,Gerald Howarth,E14000530
Remain,Con,Wendy Morton,E14000531
Leave,Con,Graham Brady,E14000532
Leave,Con,Nigel Mills,E14000533
Remain,Con,Nick Herbert,E14000534
Remain,Lab,Gloria De Piero,E14000535
Remain,Con,Damian Green,E14000536
Remain,Lab,Angela Rayner,E14000537
Remain,Con,David Lidington,E14000538
Remain,Con,Victoria Prentis,E14000539
Remain,Lab,Margaret Hodge,E14000540
Remain,Lab,Dan Jarvis,E14000541
Remain,Lab,Michael Dugher,E14000542
Remain,Lab,John Woodcock,E14000543
Leave,Con,John Baron,E14000544
Remain,Con,Maria Miller,E14000545
Leave,Lab,John Mann,E14000546
Remain,Con,Ben Howlett,E14000547
Remain,Con,Jane Ellison,E14000549
Remain,Con,Dominic Grieve,E14000550
Leave,Con,Bob Stewart,E14000551
Leave,Con,Richard Fuller,E14000552
Remain,Lab,Neil Coyle,E14000553
Leave,Con,Anne-Marie Trevelyan,E14000554
Remain,Lab,Rushanara Ali,E14000555
Remain,Con,Graham Stuart,E14000556
ND,Con,Huw Merriman,E14000557
Remain,Con,David Evennett,E14000558
Leave,Lab,Frank Field,E14000559
Leave,Lab,Gisela Stuart,E14000560
Remain,Lab,Jack Dromey,E14000561
Leave,Lab,Roger Godsiff,E14000562
Remain,Lab,Liam Byrne,E14000563
Remain,Lab,Shabana Mahmood,E14000564
Remain,Lab,Richard Burden,E14000565
Remain,Lab,Khalid Mahmood,E14000566
Remain,Lab,Steve McCabe,E14000567
Remain,Lab,Jess Phillips,E14000568
Remain,Lab,Helen Goodman,E14000569
Remain,Lab,Kate Hollern,E14000570
Leave,Lab,Graham Stringer,E14000571
Leave,Con,Paul Maynard,E14000572
Remain,Lab,Gordon Marsden,E14000573
Remain,Lab,David Anderson,E14000574
Leave,Lab,Ronnie Campbell,E14000575
Remain,Con,Nick Gibb,E14000576
Leave,Lab,Dennis Skinner,E14000577
Remain,Lab,David Crausby,E14000578
Remain,Lab,Yasmin Qureshi,E14000579
Leave,Con,Chris Green,E14000580
Remain,Lab,Peter Dowd,E14000581
Remain,Con,Matt Warman,E14000582
Remain,Con,David Tredinnick,E14000583
Remain,Con,Tobias Ellwood,E14000584
Leave,Con,Conor Burns,E14000585
Remain,Con,Phillip Lee,E14000586
Remain,Lab,Imran Hussain,E14000587
Remain,Lab,Judith Cummins,E14000588
Remain,Lab,Naseem Shah,E14000589
Leave,Con,James Cleverly,E14000590
Remain,Lab,Dawn Butler,E14000591
Remain,Lab,Barry Gardiner,E14000592
